Last Name,First Name,Date of Birth,Gender,Address LGA,State of Origin,Geopolitical Zone,School Type,Schools LGA,Secondary School Living Arrangement,Digital methods in school,Weekly Hours Spent Reading,Mentor,Parents Occupation,Financial status,Future Ambition,Digital literacy,Extra Extracurricular Activities,Do you have a library in your school?,Library visit,Academic Stream,Attendance Rate,Study Habits,Behavioral Condition in School,Learning Environment,Private Tutors,Access to online Learning Platform,Supportive Home Environment,Parental Engagement in School Life,Qualified Teachers,Anxiety Before Exam,Do you understand English,Access to Practice Exams,Past Jamb Score,Credit pass in core five subjects
Adebayo,Blessing,2005-01-19,Female,Ikeja,Nasarawa,South West,Private,Ifako-Ijaye,Day,Yes,5 hours,Yes,Medical Professional,High Income,Doctor,Medium,Clubs,No,Sometimes,Science,3,Occasional,Minor Issues,Good,No,Yes,No,Neutral,Yes,Low,No,Yes,118,Yes
Balogun,Jerome,2009-05-19,Female,Eti-Osa,Adamawa,North West,Public,Mushin,Boarding,Yes,1 hour,No,Engineer,Middle Income,Lawyer,Medium,Drama,Yes,Rarely,Arts,7,Occasional,Minor Issues,Poor,Yes,No,No,Agree,Yes,Low,No,Yes,314,No
Okeke,Femi,2011-02-19,Male,Kosofe,Bayelsa,South South,Public,Ikeja,Boarding,Yes,1 hour,No,Business,Middle Income,Businessperson,Low,Clubs,Yes,Rarely,Science,5,Rarely,Good,Good,No,No,Yes,Strongly Agree,Yes,Medium,Yes,Yes,313,Yes
Okeke,Paul,2005-03-31,Male,Shomolu,Delta,South South,Public,Badagry,Boarding,Yes,3 hours,Yes,Civil Servant,Middle Income,Businessperson,High,Drama,Yes,Rarely,Science,3,Daily,Excellent,Poor,Yes,No,No,Agree,Yes,High,Yes,Yes,323,No
Ogbonna,Charity,2005-09-14,Male,Apapa,Imo,South East,Private,Oshodi-Isolo,Day,Yes,3 hours,Yes,Farmer,Low Income,Engineer,Low,None,Yes,Sometimes,Commerce,3,Daily,Major Issues,Good,Yes,No,Yes,Neutral,Yes,Medium,Yes,No,128,No
Yusuf,Johnson,2008-02-20,Female,Lagos Mainland,Adamawa,South West,Public,Mushin,Day,Yes,5 hours,No,Medical Professional,High Income,Doctor,Medium,Music,No,Often,Commerce,3,Occasional,Minor Issues,Average,No,Yes,No,Agree,No,Medium,No,No,333,Yes
Ogunleye,Charity,2009-06-25,Male,Shomolu,Osun,South East,Private,Ikorodu,Boarding,No,3 hours,No,Teacher,Low Income,Doctor,Low,Music,Yes,Often,Commerce,10,Daily,Major Issues,Average,Yes,No,Yes,Strongly Agree,Yes,Medium,No,No,236,Yes
Ahmed,Fatai,2008-02-06,Male,Apapa,Katsina,South East,Public,Epe,Boarding,No,10 hours,Yes,Business,High Income,Doctor,Low,Drama,Yes,Rarely,Science,8,Rarely,Average,Good,No,Yes,No,Disagree,Yes,High,No,No,108,Yes
Oni,Ifeanyi,2006-03-07,Male,Lagos Mainland,Rivers,South South,Public,Badagry,Day,No,10 hours,Yes,Farmer,Low Income,Doctor,Low,Clubs,No,Often,Commerce,6,Occasional,Good,Average,Yes,Yes,No,Strongly Agree,No,Medium,Yes,No,278,No
Okeke,Sadiq,2006-02-09,Female,Kosofe,Borno,South South,Private,Ikorodu,Day,Yes,10 hours,Yes,Medical Professional,Low Income,Developer,Medium,Drama,Yes,Rarely,Commerce,9,Daily,Good,Good,No,No,No,Disagree,Yes,Medium,Yes,No,139,Yes
Onyeka,Ude,2005-11-09,Male,Alimosho,Jigawa,North East,Private,Ikorodu,Day,Yes,1 hour,No,Teacher,High Income,Scientist,High,Drama,No,Rarely,Commerce,10,Rarely,Average,Good,Yes,No,No,Strongly Disagree,No,Medium,Yes,No,197,No
Olorunfemi,Haladu,2010-09-30,Male,Surulere,Abuja,South West,Private,Ifako-Ijaye,Boarding,Yes,1 hour,Yes,Medical Professional,High Income,Businessperson,Medium,Drama,Yes,Sometimes,Arts,2,Rarely,Excellent,Poor,Yes,Yes,No,Strongly Agree,No,Medium,Yes,Yes,273,No
Elaigwu,Joseph,2005-01-21,Female,Eti-Osa,Zamfara,North East,Private,Ojo,Boarding,No,32 hours,No,Engineer,High Income,Businessperson,Medium,Drama,No,Sometimes,Science,8,Daily,Major Issues,Poor,No,Yes,Yes,Disagree,No,Low,No,Yes,197,Yes
Yusuf,Tolu,2009-04-23,Male,Oshodi-Isolo,Bayelsa,North West,Public,Ajeromi-Ifelodun,Day,Yes,10 hours,No,Medical Professional,Low Income,Engineer,Low,Clubs,No,Sometimes,Commerce,1,Daily,Excellent,Average,Yes,No,Yes,Strongly Disagree,Yes,Low,Yes,No,261,Yes
Ogore,Chidi,2006-06-17,Female,Ojo,Plateau,North East,Public,Apapa,Day,Yes,5 hours,Yes,Business,High Income,Scientist,Medium,Drama,Yes,Often,Science,5,Occasional,Major Issues,Poor,Yes,No,Yes,Strongly Agree,No,Medium,No,No,250,Yes
Igbe,Abba,2007-04-13,Female,Apapa,Ogun,North West,Public,Ifako-Ijaye,Boarding,No,3 hours,No,Farmer,High Income,Lawyer,High,Music,Yes,Rarely,Science,6,Rarely,Excellent,Average,Yes,Yes,No,Agree,No,Low,Yes,Yes,307,Yes
Badamasi,Binam,2008-07-15,Male,Ifako-Ijaye,Kebbi,South East,Public,Ikeja,Boarding,No,1 hour,No,Civil Servant,High Income,Lawyer,Medium,Music,No,Sometimes,Arts,5,Rarely,Major Issues,Average,No,No,No,Strongly Disagree,Yes,Low,No,No,131,Yes
Danladi,Franklin,2011-04-14,Female,Agege,Bauchi,South West,Public,Agege,Boarding,No,5 hours,No,Engineer,Middle Income,Engineer,High,Sports,Yes,Rarely,Commerce,3,Rarely,Excellent,Good,No,Yes,No,Disagree,No,Medium,No,No,335,No
Nnanna,Yohanna,2006-06-06,Male,Mushin,Bayelsa,North East,Private,Amuwo-Odofin,Day,Yes,3 hours,No,Engineer,Low Income,Businessperson,Low,Music,Yes,Sometimes,Commerce,2,Daily,Major Issues,Average,No,No,Yes,Strongly Agree,Yes,High,No,Yes,167,Yes
Okolie,Paul,2006-07-05,Female,Amuwo-Odofin,Plateau,South West,Private,Lagos Mainland,Day,No,3 hours,No,Teacher,Middle Income,Businessperson,High,Music,Yes,Sometimes,Commerce,9,Occasional,Average,Good,No,Yes,No,Strongly Agree,Yes,High,No,Yes,301,No
Egbon,Cyril,2006-08-10,Male,Apapa,Lagos,South East,Public,Eti-Osa,Boarding,No,10 hours,No,Civil Servant,High Income,Engineer,Medium,Music,No,Rarely,Commerce,6,Daily,Good,Average,Yes,Yes,No,Neutral,No,Medium,No,Yes,131,No
Ishaya,Sunday,2006-02-09,Female,Ikeja,Adamawa,South East,Public,Lagos Mainland,Boarding,Yes,5 hours,No,Farmer,Low Income,Developer,High,Drama,Yes,Sometimes,Commerce,5,Daily,Major Issues,Good,Yes,Yes,Yes,Disagree,Yes,Low,No,No,254,No
Egbon,Johnson,2006-11-23,Male,Ibeju-Lekki,Sokoto,South East,Private,Ikeja,Boarding,No,5 hours,Yes,Farmer,Low Income,Teacher,Medium,Sports,Yes,Often,Commerce,6,Daily,Minor Issues,Poor,No,Yes,Yes,Strongly Agree,No,Low,Yes,No,295,Yes
Tsadu,Harisu,2010-05-19,Male,Oshodi-Isolo,Adamawa,South East,Public,Ajeromi-Ifelodun,Boarding,No,10 hours,Yes,Business,High Income,Engineer,Medium,Sports,No,Rarely,Commerce,8,Daily,Excellent,Good,No,No,Yes,Strongly Agree,No,High,Yes,Yes,163,No
Aduku,Kitoye,2010-06-10,Male,Badagry,Plateau,South South,Public,Epe,Day,No,10 hours,No,Teacher,High Income,Scientist,Low,Sports,No,Sometimes,Commerce,1,Daily,Excellent,Average,Yes,Yes,Yes,Disagree,No,High,Yes,No,271,No
Oduwole,Amiel,2006-07-09,Male,Ajeromi-Ifelodun,Ekiti,South South,Private,Badagry,Day,Yes,10 hours,Yes,Teacher,Middle Income,Doctor,Medium,None,Yes,Sometimes,Arts,6,Occasional,Minor Issues,Average,Yes,No,No,Strongly Agree,Yes,High,Yes,No,246,Yes
Oduwole,Sunday,2005-05-16,Female,Agege,Yobe,South East,Private,Lagos Island,Boarding,No,10 hours,No,Medical Professional,High Income,Artist,High,None,Yes,Rarely,Science,7,Rarely,Good,Average,No,No,No,Agree,Yes,Medium,No,Yes,204,No
Igbo,Waheed,2008-05-18,Male,Agege,Yobe,South East,Public,Kosofe,Day,No,32 hours,No,Business,Low Income,Businessperson,Low,None,No,Sometimes,Science,9,Occasional,Good,Good,No,Yes,Yes,Agree,Yes,Low,Yes,No,101,No
Amus,Hassan,2005-10-05,Male,Lagos Island,Katsina,North East,Public,Eti-Osa,Day,No,5 hours,No,Teacher,Middle Income,Engineer,High,None,Yes,Sometimes,Science,3,Occasional,Average,Poor,Yes,No,Yes,Strongly Agree,No,High,Yes,Yes,198,No
Aminu,Umar,2008-08-31,Male,Ifako-Ijaye,Ogun,South West,Private,Agege,Boarding,No,3 hours,No,Farmer,Low Income,Lawyer,Medium,Sports,No,Often,Arts,1,Rarely,Average,Poor,Yes,No,No,Strongly Disagree,Yes,Medium,Yes,No,121,Yes
Udofia,Philip,2008-02-06,Male,Ojo,Yobe,North East,Public,Ifako-Ijaye,Boarding,Yes,3 hours,Yes,Teacher,High Income,Artist,Medium,Clubs,No,Often,Science,10,Daily,Minor Issues,Average,Yes,No,No,Neutral,Yes,Low,Yes,No,106,No
Njoku,Rasaki,2009-12-21,Female,Ikeja,Ebonyi,South East,Private,Oshodi-Isolo,Boarding,No,10 hours,Yes,Medical Professional,High Income,Scientist,High,Drama,Yes,Often,Commerce,3,Rarely,Average,Good,No,Yes,Yes,Strongly Agree,No,Low,No,No,167,Yes
Osanyintipin,Victor,2006-12-04,Male,Amuwo-Odofin,Bayelsa,South South,Public,Ikeja,Boarding,Yes,10 hours,No,Business,High Income,Scientist,High,Music,Yes,Sometimes,Commerce,3,Occasional,Good,Good,Yes,Yes,Yes,Agree,Yes,Low,No,No,216,No
Olayinka,Ifeoma,2007-12-29,Female,Apapa,Sokoto,North West,Private,Ikeja,Boarding,No,32 hours,Yes,Medical Professional,Middle Income,Scientist,Low,Clubs,Yes,Rarely,Commerce,6,Daily,Minor Issues,Good,No,No,No,Neutral,Yes,High,Yes,No,338,Yes
Uwa,Mathew,2006-10-26,Male,Oshodi-Isolo,Gombe,South South,Public,Oshodi-Isolo,Day,No,10 hours,No,Business,High Income,Developer,High,Sports,No,Rarely,Commerce,8,Rarely,Major Issues,Poor,No,Yes,Yes,Disagree,No,Medium,No,Yes,300,Yes
Yekini,Amomot,2009-06-01,Female,Surulere,Kwara,South South,Public,Eti-Osa,Boarding,Yes,32 hours,Yes,Civil Servant,High Income,Artist,Low,Clubs,Yes,Often,Commerce,1,Daily,Major Issues,Poor,No,Yes,Yes,Strongly Agree,Yes,Low,No,Yes,301,Yes
Mohammed,Mathew,2005-12-12,Female,Apapa,Osun,South South,Private,Ikeja,Day,No,32 hours,No,Business,Low Income,Lawyer,High,Sports,No,Rarely,Arts,10,Rarely,Minor Issues,Average,Yes,No,No,Agree,Yes,High,No,Yes,123,Yes
Ogbonna,Ngozi,2004-10-13,Female,Ifako-Ijaye,Ekiti,North West,Private,Mushin,Day,Yes,10 hours,Yes,Teacher,Low Income,Engineer,High,Clubs,No,Rarely,Commerce,1,Rarely,Major Issues,Average,Yes,No,Yes,Strongly Disagree,No,Low,Yes,Yes,323,No
Osanyintipin,Joseph,2006-07-06,Female,Ifako-Ijaye,Jigawa,South East,Private,Ikeja,Day,Yes,32 hours,No,Farmer,Middle Income,Scientist,High,None,No,Rarely,Commerce,1,Daily,Average,Poor,Yes,Yes,Yes,Strongly Disagree,No,High,No,No,228,Yes
Andrew,Samuel,2010-09-03,Male,Lagos Island,Rivers,South East,Private,Apapa,Day,No,32 hours,No,Medical Professional,Middle Income,Lawyer,Low,None,No,Often,Science,2,Rarely,Minor Issues,Good,No,Yes,No,Strongly Agree,No,Medium,Yes,No,245,No
Lawal,Mary,2009-05-14,Female,Lagos Mainland,Anambra,South East,Public,Ojo,Boarding,No,3 hours,No,Engineer,High Income,Artist,Medium,Clubs,Yes,Often,Science,7,Rarely,Minor Issues,Average,No,No,No,Neutral,No,Low,No,No,313,No
Okafor,Ifeanyi,2008-08-13,Female,Eti-Osa,Kano,South South,Private,Ifako-Ijaye,Boarding,No,10 hours,Yes,Medical Professional,Low Income,Teacher,Low,Music,Yes,Sometimes,Commerce,4,Rarely,Good,Poor,Yes,Yes,Yes,Strongly Agree,Yes,High,Yes,No,290,No
Mmaduako,Omotomilola,2008-02-25,Female,Ikeja,Abuja,South West,Public,Apapa,Boarding,No,1 hour,No,Engineer,Low Income,Developer,Low,Clubs,Yes,Rarely,Arts,6,Occasional,Average,Poor,Yes,Yes,Yes,Strongly Agree,Yes,Low,Yes,No,131,Yes
Aduku,Isiyaka,2007-09-24,Male,Surulere,Abuja,South West,Public,Agege,Day,No,32 hours,Yes,Civil Servant,Middle Income,Scientist,Low,None,Yes,Sometimes,Arts,7,Daily,Average,Average,Yes,No,No,Agree,No,High,No,No,312,No
Afolayan,Funke,2006-04-03,Male,Ikeja,Benue,North East,Private,Amuwo-Odofin,Boarding,No,10 hours,No,Engineer,High Income,Businessperson,Low,Music,No,Often,Arts,5,Occasional,Major Issues,Average,No,Yes,Yes,Strongly Disagree,Yes,Low,No,No,126,No
Ogunbanjo,Roseline,2005-10-18,Male,Ikeja,Adamawa,South West,Public,Ojo,Day,No,32 hours,Yes,Teacher,Low Income,Scientist,Low,Drama,Yes,Often,Commerce,1,Daily,Major Issues,Average,Yes,Yes,Yes,Disagree,No,Low,No,No,308,Yes
Femi,Chisom,2004-12-17,Female,Apapa,Oyo,South South,Public,Alimosho,Boarding,No,32 hours,Yes,Farmer,Middle Income,Teacher,High,Sports,Yes,Often,Science,8,Rarely,Minor Issues,Good,Yes,No,Yes,Neutral,Yes,High,Yes,No,248,No
Udofia,Edward,2007-05-22,Female,Badagry,Ekiti,South East,Public,Mushin,Day,Yes,3 hours,No,Engineer,Low Income,Lawyer,Low,Music,Yes,Rarely,Science,3,Occasional,Minor Issues,Average,Yes,Yes,No,Neutral,No,Low,No,No,305,Yes
Sanni,Roseline,2005-05-20,Female,Ibeju-Lekki,Borno,South West,Public,Ifako-Ijaye,Day,No,1 hour,Yes,Civil Servant,Middle Income,Doctor,High,Sports,Yes,Rarely,Science,4,Rarely,Major Issues,Good,No,Yes,Yes,Agree,No,Low,Yes,No,304,Yes
Elaigwu,Hassan,2010-04-23,Female,Agege,Benue,North West,Private,Alimosho,Day,Yes,3 hours,Yes,Business,Low Income,Scientist,Low,Drama,Yes,Sometimes,Arts,3,Occasional,Major Issues,Good,Yes,No,Yes,Disagree,Yes,High,Yes,Yes,257,Yes
Njoku,Ude,2004-12-03,Male,Epe,Lagos,North West,Private,Badagry,Boarding,No,5 hours,No,Business,Low Income,Scientist,Low,Music,Yes,Rarely,Arts,5,Rarely,Minor Issues,Good,No,No,Yes,Strongly Agree,Yes,Medium,No,No,132,No
Okafor,Charity,2010-11-26,Female,Kosofe,Niger,South East,Private,Ibeju-Lekki,Boarding,Yes,1 hour,No,Medical Professional,Low Income,Developer,Medium,Sports,Yes,Often,Commerce,8,Rarely,Major Issues,Poor,No,Yes,No,Strongly Disagree,Yes,High,No,Yes,287,No
Olorunfemi,Felix,2009-03-07,Male,Ajeromi-Ifelodun,Plateau,South West,Public,Alimosho,Boarding,Yes,3 hours,Yes,Farmer,High Income,Scientist,Medium,Sports,Yes,Sometimes,Commerce,3,Daily,Minor Issues,Poor,No,No,Yes,Agree,Yes,Medium,No,Yes,180,Yes
Okwe,Edward,2010-08-18,Female,Lagos Mainland,Katsina,South South,Private,Amuwo-Odofin,Boarding,Yes,1 hour,No,Engineer,Middle Income,Artist,Medium,Drama,Yes,Often,Commerce,9,Daily,Good,Poor,No,Yes,Yes,Disagree,No,Medium,Yes,No,316,Yes
Nnaemeka,Dare,2010-05-22,Female,Mushin,Kaduna,South South,Public,Ifako-Ijaye,Boarding,Yes,5 hours,No,Civil Servant,Middle Income,Doctor,Low,Music,Yes,Often,Science,3,Daily,Good,Good,No,Yes,No,Disagree,Yes,Low,No,Yes,196,Yes
Mohammed,Khadijah,2009-01-22,Female,Ikeja,Edo,South West,Public,Shomolu,Boarding,Yes,32 hours,Yes,Teacher,Low Income,Doctor,Medium,Sports,No,Sometimes,Commerce,9,Daily,Average,Good,No,Yes,Yes,Strongly Disagree,Yes,High,No,No,268,No
Anyanwu,Blessing,2011-01-18,Female,Ojo,Sokoto,North East,Public,Alimosho,Day,No,10 hours,Yes,Business,High Income,Businessperson,Medium,None,No,Often,Arts,10,Daily,Minor Issues,Average,No,Yes,No,Neutral,Yes,Medium,No,No,273,No
Taiwo,Isma'il,2008-11-17,Male,Epe,Katsina,North East,Private,Apapa,Boarding,No,3 hours,No,Medical Professional,High Income,Scientist,Low,Clubs,Yes,Sometimes,Commerce,6,Rarely,Good,Good,Yes,Yes,Yes,Disagree,Yes,High,Yes,No,253,Yes
Badamasi,Adekunle,2008-02-24,Female,Ajeromi-Ifelodun,Edo,North West,Private,Eti-Osa,Day,No,1 hour,Yes,Business,Middle Income,Lawyer,Medium,Sports,No,Sometimes,Arts,5,Rarely,Average,Good,No,No,No,Disagree,Yes,High,Yes,Yes,136,No
Oluwole,Johnson,2005-06-25,Male,Mushin,Nasarawa,South East,Private,Agege,Boarding,No,1 hour,No,Medical Professional,Low Income,Teacher,Medium,Clubs,Yes,Often,Arts,1,Occasional,Major Issues,Average,No,Yes,No,Neutral,No,Medium,Yes,Yes,327,Yes
Onyeka,Haladu,2007-11-20,Female,Apapa,Plateau,North West,Public,Ifako-Ijaye,Boarding,No,5 hours,No,Engineer,Low Income,Businessperson,High,None,Yes,Sometimes,Science,1,Daily,Excellent,Good,No,No,No,Disagree,Yes,High,Yes,Yes,177,No
Olorunfemi,Ibrahim,2005-08-03,Male,Ifako-Ijaye,Taraba,South East,Public,Ifako-Ijaye,Day,No,5 hours,Yes,Civil Servant,Middle Income,Developer,Low,Clubs,Yes,Sometimes,Commerce,2,Rarely,Average,Average,Yes,Yes,Yes,Agree,Yes,Medium,Yes,No,285,Yes
Ajibola,Uchechukwu,2006-04-03,Female,Ikeja,Kwara,South East,Public,Epe,Boarding,No,3 hours,Yes,Teacher,High Income,Artist,High,None,Yes,Sometimes,Science,8,Rarely,Excellent,Average,No,Yes,No,Strongly Disagree,No,Low,No,No,224,No
Tsadu,Kingsley,2009-10-18,Male,Ifako-Ijaye,Sokoto,South East,Private,Mushin,Boarding,No,5 hours,No,Engineer,High Income,Lawyer,Medium,Sports,Yes,Often,Science,9,Daily,Average,Good,Yes,No,No,Strongly Agree,No,Low,Yes,No,204,Yes
Ogore,Joseph,2005-08-18,Female,Ibeju-Lekki,Enugu,South East,Public,Ibeju-Lekki,Boarding,No,10 hours,Yes,Medical Professional,Low Income,Scientist,High,Music,No,Sometimes,Science,9,Rarely,Excellent,Average,Yes,Yes,Yes,Agree,No,High,Yes,No,243,Yes
Abdulqadir,Terhemba,2008-06-02,Female,Surulere,Abia,South South,Public,Mushin,Day,Yes,3 hours,Yes,Civil Servant,High Income,Scientist,Medium,None,No,Sometimes,Arts,3,Rarely,Excellent,Good,No,No,No,Strongly Disagree,Yes,Low,Yes,Yes,241,Yes
Igbe,Sunday,2009-03-27,Male,Lagos Mainland,Cross River,South West,Private,Kosofe,Boarding,No,32 hours,No,Medical Professional,Middle Income,Lawyer,High,Drama,No,Often,Commerce,3,Rarely,Good,Poor,Yes,No,Yes,Strongly Agree,Yes,High,Yes,No,271,No
Eze,Olatunde,2005-09-05,Male,Ojo,Adamawa,South East,Public,Lagos Mainland,Day,Yes,10 hours,Yes,Business,Low Income,Scientist,Low,Drama,Yes,Often,Science,5,Daily,Minor Issues,Good,Yes,No,Yes,Strongly Agree,No,High,Yes,No,298,No
Ogbonna,Aisha,2005-12-29,Male,Lagos Island,Plateau,South West,Public,Agege,Day,Yes,3 hours,No,Business,Low Income,Teacher,High,Sports,Yes,Often,Arts,8,Daily,Minor Issues,Average,No,Yes,No,Disagree,No,Low,No,Yes,154,No
Ajibola,Olatunde,2008-11-28,Male,Ikeja,Kwara,South East,Private,Apapa,Boarding,No,3 hours,Yes,Civil Servant,Middle Income,Teacher,Low,Sports,Yes,Rarely,Arts,4,Occasional,Average,Poor,Yes,Yes,No,Neutral,No,Medium,No,No,174,No
Ezeji,Oluwaseun,2006-10-05,Female,Oshodi-Isolo,Abuja,South South,Private,Ikeja,Boarding,Yes,3 hours,Yes,Civil Servant,High Income,Scientist,Low,Clubs,No,Often,Arts,2,Occasional,Minor Issues,Average,Yes,No,No,Strongly Disagree,No,High,Yes,Yes,116,Yes
Akinola,Adebayo,2007-01-24,Female,Shomolu,Bauchi,South South,Public,Shomolu,Day,Yes,1 hour,No,Farmer,Low Income,Engineer,Medium,Sports,No,Sometimes,Arts,3,Occasional,Average,Poor,No,Yes,Yes,Strongly Agree,Yes,High,No,Yes,111,Yes
Nnenanya,Emmanuel,2007-06-19,Female,Apapa,Gombe,South West,Private,Ibeju-Lekki,Boarding,No,3 hours,No,Farmer,Low Income,Doctor,Low,None,Yes,Rarely,Commerce,7,Rarely,Good,Average,No,No,No,Disagree,No,Low,Yes,Yes,156,No
Jayeola,Philip,2006-11-06,Male,Oshodi-Isolo,Anambra,South West,Private,Lagos Mainland,Day,No,1 hour,Yes,Medical Professional,High Income,Developer,Low,Clubs,Yes,Often,Science,2,Rarely,Good,Average,Yes,Yes,No,Strongly Agree,Yes,High,Yes,No,167,No
Ibiam,Anzaku,2007-07-10,Male,Ikorodu,Ebonyi,North West,Private,Lagos Mainland,Day,No,3 hours,No,Civil Servant,Low Income,Artist,Medium,Clubs,No,Sometimes,Science,7,Daily,Average,Good,No,No,Yes,Strongly Disagree,No,Medium,No,No,120,No
Oluwasanmi,Yemi,2007-06-06,Female,Epe,Delta,North West,Private,Kosofe,Boarding,No,10 hours,No,Farmer,High Income,Artist,Low,Clubs,Yes,Sometimes,Science,9,Occasional,Average,Poor,Yes,No,No,Neutral,Yes,Medium,Yes,Yes,171,No
Udofia,Abdullahi,2010-09-28,Female,Epe,Kebbi,North East,Public,Badagry,Boarding,No,1 hour,No,Medical Professional,High Income,Teacher,Low,Music,Yes,Rarely,Arts,6,Daily,Minor Issues,Poor,Yes,Yes,Yes,Agree,No,High,Yes,No,123,No
Abdulaziz,Ufedo,2005-10-21,Male,Epe,Benue,North West,Public,Epe,Day,Yes,10 hours,Yes,Teacher,Middle Income,Businessperson,Low,Sports,No,Rarely,Commerce,1,Daily,Excellent,Good,No,Yes,No,Agree,No,Low,No,No,150,No
Yahaya,Bashar,2007-04-19,Male,Eti-Osa,Enugu,North West,Private,Oshodi-Isolo,Day,No,5 hours,No,Farmer,High Income,Doctor,High,None,Yes,Often,Science,8,Daily,Good,Poor,Yes,No,No,Agree,No,High,No,No,293,No
Ogore,Ibrahim,2008-11-28,Female,Agege,Anambra,South East,Public,Badagry,Day,No,1 hour,No,Teacher,Middle Income,Developer,High,Clubs,Yes,Often,Arts,2,Occasional,Good,Average,Yes,Yes,No,Strongly Agree,No,High,Yes,No,117,Yes
Oyedepo,Musa,2005-05-12,Female,Eti-Osa,Taraba,North East,Public,Ibeju-Lekki,Boarding,Yes,1 hour,No,Business,Middle Income,Doctor,High,Drama,Yes,Sometimes,Commerce,1,Occasional,Major Issues,Good,Yes,No,No,Neutral,No,High,Yes,No,232,Yes
Aduku,Mathew,2005-06-01,Female,Mushin,Adamawa,North West,Private,Apapa,Day,Yes,32 hours,Yes,Civil Servant,Low Income,Doctor,Low,None,Yes,Sometimes,Arts,6,Daily,Minor Issues,Good,No,Yes,Yes,Neutral,No,Low,Yes,No,126,Yes
Nwaogwugwu,Muhammad,2011-02-13,Female,Badagry,Akwa Ibom,North West,Public,Ifako-Ijaye,Boarding,No,1 hour,No,Farmer,Middle Income,Businessperson,Low,Music,Yes,Sometimes,Science,9,Rarely,Minor Issues,Poor,Yes,No,No,Strongly Agree,No,High,Yes,Yes,128,No
Zarami,Alice,2004-10-13,Female,Epe,Akwa Ibom,South West,Private,Ibeju-Lekki,Boarding,Yes,10 hours,No,Teacher,Middle Income,Artist,High,Sports,Yes,Often,Commerce,1,Occasional,Excellent,Average,No,Yes,No,Strongly Agree,No,Medium,Yes,Yes,319,Yes
Eze,Lateef,2006-01-24,Male,Badagry,Edo,North East,Private,Agege,Day,No,32 hours,Yes,Teacher,High Income,Teacher,High,Sports,No,Often,Commerce,2,Daily,Major Issues,Poor,Yes,Yes,Yes,Agree,No,Low,No,No,318,Yes
Anaba,Damilola,2008-01-27,Male,Mushin,Kebbi,North East,Private,Badagry,Day,Yes,3 hours,Yes,Medical Professional,High Income,Scientist,Low,None,Yes,Rarely,Science,2,Occasional,Average,Good,No,No,No,Strongly Agree,Yes,Low,Yes,Yes,243,No
Badamasi,Henry,2010-01-19,Female,Surulere,Imo,North East,Private,Mushin,Boarding,Yes,1 hour,No,Farmer,Low Income,Scientist,Medium,Sports,No,Sometimes,Science,10,Occasional,Average,Average,Yes,No,Yes,Neutral,No,Medium,No,No,262,No
Ogbonna,Ibrahim,2009-03-16,Female,Eti-Osa,Rivers,South West,Public,Mushin,Boarding,No,3 hours,Yes,Farmer,High Income,Businessperson,Low,Sports,Yes,Often,Commerce,6,Daily,Excellent,Average,Yes,No,No,Agree,Yes,Low,Yes,Yes,126,No
Etim,Philip,2006-07-25,Male,Alimosho,Bayelsa,South South,Public,Eti-Osa,Boarding,No,5 hours,No,Medical Professional,High Income,Teacher,Low,Clubs,Yes,Rarely,Arts,1,Daily,Excellent,Average,Yes,Yes,Yes,Neutral,Yes,High,No,No,179,No
Eze,Ternenge,2007-07-13,Male,Oshodi-Isolo,Gombe,North East,Public,Kosofe,Day,Yes,3 hours,Yes,Medical Professional,High Income,Businessperson,Low,Music,No,Rarely,Commerce,10,Rarely,Average,Average,Yes,Yes,Yes,Strongly Agree,No,Medium,Yes,No,102,Yes
Anyanwu,Ufedo,2011-02-27,Female,Amuwo-Odofin,Adamawa,North East,Private,Ikorodu,Day,No,1 hour,No,Teacher,High Income,Doctor,Low,Sports,No,Often,Commerce,3,Occasional,Excellent,Poor,No,Yes,No,Disagree,No,Medium,Yes,Yes,187,No
Isong,Nnedinma,2010-04-10,Male,Surulere,Bauchi,South West,Private,Agege,Day,Yes,3 hours,No,Civil Servant,High Income,Artist,Low,Music,No,Sometimes,Arts,8,Daily,Major Issues,Poor,No,Yes,Yes,Strongly Disagree,Yes,Low,No,No,335,No
Rasaki,Clement,2009-11-18,Male,Ifako-Ijaye,Nasarawa,South South,Private,Ifako-Ijaye,Boarding,Yes,1 hour,Yes,Business,Low Income,Doctor,Low,None,Yes,Often,Science,2,Rarely,Good,Poor,Yes,Yes,Yes,Disagree,Yes,Medium,No,Yes,121,No
Omoh,Oladipupo,2010-08-28,Female,Oshodi-Isolo,Gombe,North East,Public,Mushin,Boarding,Yes,1 hour,No,Medical Professional,Middle Income,Scientist,High,Clubs,Yes,Often,Commerce,2,Daily,Average,Poor,Yes,Yes,No,Agree,No,Low,Yes,Yes,278,Yes
Ahmad,Olamide,2008-02-08,Female,Amuwo-Odofin,Plateau,North East,Private,Badagry,Day,Yes,32 hours,No,Teacher,Middle Income,Developer,Medium,None,No,Sometimes,Commerce,6,Occasional,Good,Poor,Yes,Yes,No,Disagree,Yes,Low,Yes,Yes,280,Yes
Alabi,Charity,2010-11-16,Female,Epe,Bayelsa,South East,Private,Amuwo-Odofin,Boarding,Yes,10 hours,Yes,Civil Servant,High Income,Lawyer,Medium,None,No,Often,Arts,3,Rarely,Excellent,Good,Yes,No,Yes,Strongly Agree,Yes,Low,Yes,No,159,No
