Parent ID,LASRRA ID,Student ID,First Name,Last Name,Gender,State of Origin,Title,Age,Date of Birth,Email,Phone Number,Home Address,Occupation,Financial Status,Education Level,Engagement in School Activities,LGA of residence
PAR051,9294271947056892301,STU116,Bola,Elaigwu,Male,Abia,Chief,52,1972-03-03,bola.elaigwu@gmail.com,+2347026937148,"75, Street in Amuwo-Odofin, Lagos State",Engineer,High Income,Tertiary,Low,Ajeromi-Ifelodun
PAR052,5184786100335569724,STU078,Bola,Ishaya,Female,Plateau,Mr.,49,1975-11-21,bola.ishaya@gmail.com,+2347083998961,"47, Road in Eti-Osa, Lagos State",Civil Servant,Low Income,Secondary,Medium,Badagry
PAR052,5184786100335569724,STU373,Bola,Ishaya,Male,Bayelsa,Dr.,49,1975-08-13,bola.ishaya@gmail.com,+2347065833185,"47, Road in Eti-Osa, Lagos State",Civil Servant,Low Income,Secondary,Medium,Badagry
PAR052,5184786100335569724,STU108,Bola,Ishaya,Female,Katsina,Dr.,49,1975-03-22,bola.ishaya@gmail.com,+2347073655158,"47, Road in Eti-Osa, Lagos State",Farmer,Low Income,Primary,High,Badagry
PAR053,2200103239963385021,STU296,Kingsley,Eze,Male,Osun,Chief,53,1971-06-22,kingsley.eze@gmail.com,+2347026405605,"82, Road in Epe, Lagos State",Medical Professional,Middle Income,Tertiary,Medium,Lagos Mainland
PAR053,2200103239963385021,STU070,Kingsley,Eze,Male,Sokoto,Chief,53,1971-05-12,kingsley.eze@gmail.com,+2347023905032,"82, Road in Epe, Lagos State",Business,High Income,Primary,High,Lagos Mainland
PAR053,2200103239963385021,STU405,Kingsley,Eze,Female,Kaduna,Mr.,53,1971-06-28,kingsley.eze@gmail.com,+2347084660688,"82, Road in Epe, Lagos State",Engineer,Low Income,Secondary,Low,Lagos Mainland
PAR053,2200103239963385021,STU106,Kingsley,Eze,Male,Cross River,Chief,53,1971-10-20,kingsley.eze@gmail.com,+2347096261621,"82, Road in Epe, Lagos State",Business,Low Income,Tertiary,Low,Lagos Mainland
PAR054,8031986623447568650,STU037,Musa,Igwe,Female,Anambra,Dr.,35,1989-01-06,musa.igwe@gmail.com,+2347029226889,"99, Avenue in Badagry, Lagos State",Business,High Income,Secondary,High,Shomolu
PAR054,8031986623447568650,STU022,Musa,Igwe,Male,Kogi,Mr.,35,1989-12-17,musa.igwe@gmail.com,+2347038874646,"99, Avenue in Badagry, Lagos State",Medical Professional,Middle Income,Secondary,Medium,Shomolu
PAR054,8031986623447568650,STU294,Musa,Igwe,Male,Enugu,Dr.,35,1989-12-11,musa.igwe@gmail.com,+2347086181117,"99, Avenue in Badagry, Lagos State",Business,Low Income,Primary,High,Shomolu
PAR055,1752456772547589820,STU464,Sani,Egbon,Female,Delta,Prof.,49,1975-08-20,sani.egbon@gmail.com,+2347069330166,"62, Avenue in Ajeromi-Ifelodun, Lagos State",Medical Professional,Middle Income,Primary,Low,Alimosho
PAR055,1752456772547589820,STU483,Sani,Egbon,Male,Ebonyi,Prof.,49,1975-02-10,sani.egbon@gmail.com,+2347089609131,"62, Avenue in Ajeromi-Ifelodun, Lagos State",Medical Professional,High Income,Tertiary,Medium,Alimosho
PAR056,1070900865091121357,STU332,Maxwell,Bello,Male,Zamfara,Mrs.,42,1982-03-25,maxwell.bello@gmail.com,+2347044295247,"36, Street in Apapa, Lagos State",Engineer,Middle Income,Primary,High,Epe
PAR057,4506794699854860412,STU432,Adebayo,Ibrahim,Male,Lagos,Chief,43,1981-11-26,adebayo.ibrahim@gmail.com,+2347057535513,"53, Avenue in Lagos Mainland, Lagos State",Farmer,Middle Income,Tertiary,High,Kosofe
PAR057,4506794699854860412,STU014,Adebayo,Ibrahim,Female,Kogi,Prof.,43,1981-02-28,adebayo.ibrahim@gmail.com,+2347052018286,"53, Avenue in Lagos Mainland, Lagos State",Business,Middle Income,Tertiary,Medium,Kosofe
PAR057,4506794699854860412,STU268,Adebayo,Ibrahim,Female,Sokoto,Mr.,43,1981-07-01,adebayo.ibrahim@gmail.com,+2347053589647,"53, Avenue in Lagos Mainland, Lagos State",Teacher,High Income,Secondary,Low,Kosofe
PAR057,4506794699854860412,STU150,Adebayo,Ibrahim,Female,Benue,Prof.,43,1981-02-08,adebayo.ibrahim@gmail.com,+2347068475513,"53, Avenue in Lagos Mainland, Lagos State",Business,Middle Income,Tertiary,High,Kosofe
PAR058,4072015826597507662,STU287,Khadijah,Osanyintipin,Male,Niger,Chief,39,1985-11-04,khadijah.osanyintipin@gmail.com,+2347081216573,"27, Road in Apapa, Lagos State",Business,Low Income,Secondary,Medium,Lagos Island
PAR058,4072015826597507662,STU092,Khadijah,Osanyintipin,Male,Kano,Mr.,39,1985-03-09,khadijah.osanyintipin@gmail.com,+2347036477373,"27, Road in Apapa, Lagos State",Teacher,High Income,Primary,Low,Lagos Island
PAR058,4072015826597507662,STU354,Khadijah,Osanyintipin,Male,Taraba,Prof.,39,1985-08-25,khadijah.osanyintipin@gmail.com,+2347085663295,"27, Road in Apapa, Lagos State",Business,Middle Income,Tertiary,Low,Lagos Island
PAR058,4072015826597507662,STU334,Khadijah,Osanyintipin,Female,Abia,Mrs.,39,1985-08-03,khadijah.osanyintipin@gmail.com,+2347072937522,"27, Road in Apapa, Lagos State",Medical Professional,High Income,Secondary,Medium,Lagos Island
PAR059,5258822725175796616,STU587,Omotomilola,Musa,Female,Kwara,Mr.,46,1978-06-27,omotomilola.musa@gmail.com,+2347048530827,"15, Avenue in Kosofe, Lagos State",Farmer,High Income,Primary,Low,Apapa
PAR060,8303230138735952773,STU392,Lovina,Njoku,Male,Delta,Chief,48,1976-11-07,lovina.njoku@gmail.com,+2347053154591,"47, Avenue in Epe, Lagos State",Business,Middle Income,Tertiary,High,Ikorodu
PAR060,8303230138735952773,STU479,Lovina,Njoku,Male,Delta,Mr.,48,1976-06-23,lovina.njoku@gmail.com,+2347021318464,"47, Avenue in Epe, Lagos State",Business,High Income,Primary,High,Ikorodu
PAR060,8303230138735952773,STU422,Lovina,Njoku,Male,Delta,Prof.,48,1976-09-17,lovina.njoku@gmail.com,+2347091846696,"47, Avenue in Epe, Lagos State",Teacher,Middle Income,Secondary,Medium,Ikorodu
PAR060,8303230138735952773,STU467,Lovina,Njoku,Female,Bayelsa,Dr.,48,1976-11-20,lovina.njoku@gmail.com,+2347017028380,"47, Avenue in Epe, Lagos State",Civil Servant,High Income,Secondary,High,Ikorodu
PAR061,3324250879487499070,STU592,Khadijah,Ene,Male,Anambra,Mr.,47,1977-10-22,khadijah.ene@gmail.com,+2347028982195,"19, Avenue in Ajeromi-Ifelodun, Lagos State",Engineer,Middle Income,Tertiary,Low,Surulere
PAR061,3324250879487499070,STU534,Khadijah,Ene,Female,Bauchi,Chief,47,1977-12-03,khadijah.ene@gmail.com,+2347051551377,"19, Avenue in Ajeromi-Ifelodun, Lagos State",Business,Middle Income,Tertiary,Medium,Surulere
PAR061,3324250879487499070,STU547,Khadijah,Ene,Male,Ogun,Mr.,47,1977-11-22,khadijah.ene@gmail.com,+2347066828640,"19, Avenue in Ajeromi-Ifelodun, Lagos State",Business,Middle Income,Primary,Medium,Surulere
PAR062,9740696999348389210,STU146,Adeola,Sogbetun,Female,Yobe,Mrs.,60,1964-03-05,adeola.sogbetun@gmail.com,+2347020356922,"68, Street in Mushin, Lagos State",Engineer,Low Income,Tertiary,Low,Mushin
PAR062,9740696999348389210,STU096,Adeola,Sogbetun,Male,Anambra,Chief,60,1964-03-20,adeola.sogbetun@gmail.com,+2347060562485,"68, Street in Mushin, Lagos State",Teacher,Low Income,Primary,Low,Mushin
PAR062,9740696999348389210,STU349,Adeola,Sogbetun,Male,Delta,Mr.,60,1964-07-12,adeola.sogbetun@gmail.com,+2347041880763,"68, Street in Mushin, Lagos State",Medical Professional,High Income,Secondary,Low,Mushin
PAR063,9906056985317296552,STU319,Chinonso,Okeke,Female,Yobe,Dr.,47,1977-11-19,chinonso.okeke@gmail.com,+2347069135982,"91, Avenue in Apapa, Lagos State",Medical Professional,Middle Income,Secondary,Low,Oshodi-Isolo
PAR063,9906056985317296552,STU118,Chinonso,Okeke,Female,Gombe,Mrs.,47,1977-10-05,chinonso.okeke@gmail.com,+2347043554863,"91, Avenue in Apapa, Lagos State",Farmer,High Income,Secondary,Medium,Oshodi-Isolo
PAR063,9906056985317296552,STU313,Chinonso,Okeke,Male,Ogun,Mr.,47,1977-05-03,chinonso.okeke@gmail.com,+2347031516757,"91, Avenue in Apapa, Lagos State",Engineer,Middle Income,Tertiary,High,Oshodi-Isolo
PAR063,9906056985317296552,STU229,Chinonso,Okeke,Female,Benue,Mrs.,47,1977-08-12,chinonso.okeke@gmail.com,+2347013579612,"91, Avenue in Apapa, Lagos State",Medical Professional,Low Income,Secondary,Low,Oshodi-Isolo
PAR064,3071004541359900399,STU144,Gbenga,Yusuf,Male,Abia,Mr.,42,1982-12-21,gbenga.yusuf@gmail.com,+2347055001909,"56, Road in Kosofe, Lagos State",Teacher,Low Income,Primary,Medium,Apapa
PAR064,3071004541359900399,STU523,Gbenga,Yusuf,Female,Bauchi,Prof.,42,1982-08-20,gbenga.yusuf@gmail.com,+2347010704803,"56, Road in Kosofe, Lagos State",Farmer,Low Income,Secondary,High,Apapa
PAR064,3071004541359900399,STU048,Gbenga,Yusuf,Male,Osun,Chief,42,1982-09-14,gbenga.yusuf@gmail.com,+2347024923247,"56, Road in Kosofe, Lagos State",Engineer,Low Income,Secondary,High,Apapa
PAR065,1579293749054891509,STU304,Adamu,Okeke,Male,Ekiti,Chief,43,1981-09-01,adamu.okeke@gmail.com,+2347094819556,"90, Road in Eti-Osa, Lagos State",Business,High Income,Primary,Low,Epe
PAR066,4254153593034647858,STU543,Ternenge,Oluwole,Male,Oyo,Prof.,43,1981-03-22,ternenge.oluwole@gmail.com,+2347099686286,"93, Avenue in Ikorodu, Lagos State",Farmer,High Income,Secondary,High,Agege
PAR066,4254153593034647858,STU234,Ternenge,Oluwole,Male,Imo,Prof.,43,1981-01-21,ternenge.oluwole@gmail.com,+2347061926331,"93, Avenue in Ikorodu, Lagos State",Engineer,Middle Income,Tertiary,High,Agege
PAR067,7760187699266219432,STU166,Isiyaka,Sogbetun,Male,Anambra,Mrs.,32,1992-01-12,isiyaka.sogbetun@gmail.com,+2347083284724,"36, Road in Ikorodu, Lagos State",Engineer,High Income,Primary,Low,Lagos Mainland
PAR067,7760187699266219432,STU390,Isiyaka,Sogbetun,Female,Rivers,Mrs.,32,1992-03-03,isiyaka.sogbetun@gmail.com,+2347071428713,"36, Road in Ikorodu, Lagos State",Farmer,Middle Income,Primary,High,Lagos Mainland
PAR067,7760187699266219432,STU575,Isiyaka,Sogbetun,Male,Kwara,Dr.,32,1992-05-17,isiyaka.sogbetun@gmail.com,+2347063448727,"36, Road in Ikorodu, Lagos State",Business,Middle Income,Secondary,High,Lagos Mainland
PAR068,7048054365898732711,STU558,Bimbo,Okwe,Female,Kebbi,Mr.,41,1983-06-14,bimbo.okwe@gmail.com,+2347063690013,"1, Street in Alimosho, Lagos State",Civil Servant,Middle Income,Secondary,Medium,Alimosho
PAR068,7048054365898732711,STU377,Bimbo,Okwe,Male,Ekiti,Prof.,41,1983-06-26,bimbo.okwe@gmail.com,+2347079696025,"1, Street in Alimosho, Lagos State",Engineer,Low Income,Tertiary,Medium,Alimosho
PAR069,3709517014793467340,STU497,Zaharudeen,Okoro,Female,Plateau,Mr.,49,1975-06-22,zaharudeen.okoro@gmail.com,+2347049680122,"67, Street in Eti-Osa, Lagos State",Engineer,Middle Income,Tertiary,Low,Kosofe
PAR070,5124043224220105660,STU200,Esther,Lawal,Male,Ebonyi,Chief,52,1972-07-09,esther.lawal@gmail.com,+2347095828117,"12, Avenue in Ibeju-Lekki, Lagos State",Farmer,Low Income,Tertiary,Low,Ajeromi-Ifelodun
PAR070,5124043224220105660,STU269,Esther,Lawal,Female,Enugu,Chief,52,1972-12-22,esther.lawal@gmail.com,+2347031473054,"12, Avenue in Ibeju-Lekki, Lagos State",Farmer,Low Income,Tertiary,Low,Ajeromi-Ifelodun
PAR070,5124043224220105660,STU284,Esther,Lawal,Female,Kwara,Mrs.,52,1972-02-08,esther.lawal@gmail.com,+2347096592295,"12, Avenue in Ibeju-Lekki, Lagos State",Engineer,Middle Income,Secondary,Low,Ajeromi-Ifelodun
PAR070,5124043224220105660,STU088,Esther,Lawal,Male,Borno,Prof.,52,1972-06-12,esther.lawal@gmail.com,+2347069584522,"12, Avenue in Ibeju-Lekki, Lagos State",Farmer,High Income,Primary,Low,Ajeromi-Ifelodun
PAR071,9859233818534907036,STU193,Fatima,Nnamdi,Male,Kogi,Mrs.,40,1984-08-17,fatima.nnamdi@gmail.com,+2347061940566,"38, Avenue in Kosofe, Lagos State",Business,Low Income,Secondary,Medium,Shomolu
PAR071,9859233818534907036,STU591,Fatima,Nnamdi,Female,Jigawa,Chief,40,1984-05-23,fatima.nnamdi@gmail.com,+2347075927774,"38, Avenue in Kosofe, Lagos State",Teacher,Low Income,Primary,High,Shomolu
PAR071,9859233818534907036,STU008,Fatima,Nnamdi,Female,Taraba,Prof.,40,1984-02-26,fatima.nnamdi@gmail.com,+2347052894344,"38, Avenue in Kosofe, Lagos State",Civil Servant,Middle Income,Tertiary,High,Shomolu
PAR072,7544570782431387396,STU388,Adamu,Mmaduako,Male,Enugu,Chief,39,1985-04-04,adamu.mmaduako@gmail.com,+2347036975128,"51, Avenue in Ojo, Lagos State",Teacher,Low Income,Secondary,High,Kosofe
PAR072,7544570782431387396,STU110,Adamu,Mmaduako,Female,Osun,Chief,39,1985-06-15,adamu.mmaduako@gmail.com,+2347084040798,"51, Avenue in Ojo, Lagos State",Teacher,High Income,Primary,High,Kosofe
PAR072,7544570782431387396,STU051,Adamu,Mmaduako,Female,Akwa Ibom,Prof.,39,1985-09-14,adamu.mmaduako@gmail.com,+2347064953237,"51, Avenue in Ojo, Lagos State",Business,Low Income,Primary,Medium,Kosofe
PAR073,2183677839907626724,STU245,Terhemba,Okafor,Male,Bauchi,Prof.,44,1980-09-28,terhemba.okafor@gmail.com,+2347017437386,"62, Street in Ikorodu, Lagos State",Farmer,High Income,Primary,Medium,Badagry
PAR074,9738989410564241393,STU365,Tolu,Ibiam,Female,Benue,Dr.,40,1984-04-21,tolu.ibiam@gmail.com,+2347083932683,"89, Road in Shomolu, Lagos State",Engineer,Low Income,Tertiary,Medium,Oshodi-Isolo
PAR074,9738989410564241393,STU586,Tolu,Ibiam,Male,Lagos,Mrs.,40,1984-10-19,tolu.ibiam@gmail.com,+2347030695604,"89, Road in Shomolu, Lagos State",Teacher,High Income,Tertiary,Low,Oshodi-Isolo
PAR075,8611461069857076660,STU372,Augustina,Aminu,Male,Benue,Mr.,59,1965-11-25,augustina.aminu@gmail.com,+2347087412924,"69, Avenue in Eti-Osa, Lagos State",Engineer,High Income,Primary,Low,Ibeju-Lekki
PAR075,8611461069857076660,STU539,Augustina,Aminu,Female,Kogi,Prof.,59,1965-11-18,augustina.aminu@gmail.com,+2347048879071,"69, Avenue in Eti-Osa, Lagos State",Civil Servant,Middle Income,Secondary,High,Ibeju-Lekki
PAR075,8611461069857076660,STU368,Augustina,Aminu,Female,Zamfara,Prof.,59,1965-02-23,augustina.aminu@gmail.com,+2347018041391,"69, Avenue in Eti-Osa, Lagos State",Teacher,Middle Income,Secondary,Medium,Ibeju-Lekki
PAR076,3883064654245361829,STU185,Olamide,Jayeola,Female,Ebonyi,Prof.,40,1984-03-25,olamide.jayeola@gmail.com,+2347059733063,"17, Street in Lagos Mainland, Lagos State",Business,High Income,Primary,Medium,Epe
PAR076,3883064654245361829,STU595,Olamide,Jayeola,Male,Edo,Mr.,40,1984-05-15,olamide.jayeola@gmail.com,+2347043275109,"17, Street in Lagos Mainland, Lagos State",Teacher,Low Income,Primary,Medium,Epe
PAR076,3883064654245361829,STU057,Olamide,Jayeola,Female,Bayelsa,Mrs.,40,1984-03-27,olamide.jayeola@gmail.com,+2347053947691,"17, Street in Lagos Mainland, Lagos State",Business,High Income,Secondary,High,Epe
PAR076,3883064654245361829,STU012,Olamide,Jayeola,Male,Ekiti,Chief,40,1984-08-16,olamide.jayeola@gmail.com,+2347051411602,"17, Street in Lagos Mainland, Lagos State",Medical Professional,Low Income,Primary,Medium,Epe
PAR077,4254882745202379309,STU283,Abba,Sanbauna,Male,Nasarawa,Dr.,37,1987-08-20,abba.sanbauna@gmail.com,+2347097813295,"94, Avenue in Lagos Mainland, Lagos State",Civil Servant,Middle Income,Secondary,Low,Mushin
PAR077,4254882745202379309,STU232,Abba,Sanbauna,Male,Plateau,Prof.,37,1987-03-09,abba.sanbauna@gmail.com,+2347059093843,"94, Avenue in Lagos Mainland, Lagos State",Medical Professional,Middle Income,Primary,Medium,Mushin
PAR077,4254882745202379309,STU367,Abba,Sanbauna,Male,Oyo,Chief,37,1987-04-12,abba.sanbauna@gmail.com,+2347084252324,"94, Avenue in Lagos Mainland, Lagos State",Engineer,Low Income,Secondary,Low,Mushin
PAR077,4254882745202379309,STU487,Abba,Sanbauna,Female,Osun,Dr.,37,1987-10-22,abba.sanbauna@gmail.com,+2347092012822,"94, Avenue in Lagos Mainland, Lagos State",Farmer,Low Income,Primary,Medium,Mushin
PAR078,4372123594290032382,STU191,Binam,Yusuf,Male,Yobe,Chief,40,1984-09-13,binam.yusuf@gmail.com,+2347077119320,"71, Avenue in Kosofe, Lagos State",Farmer,Low Income,Primary,High,Ikorodu
PAR078,4372123594290032382,STU588,Binam,Yusuf,Female,Rivers,Chief,40,1984-08-05,binam.yusuf@gmail.com,+2347091370909,"71, Avenue in Kosofe, Lagos State",Business,Low Income,Secondary,Low,Ikorodu
PAR078,4372123594290032382,STU228,Binam,Yusuf,Female,Gombe,Prof.,40,1984-10-24,binam.yusuf@gmail.com,+2347050162553,"71, Avenue in Kosofe, Lagos State",Business,Middle Income,Tertiary,Low,Ikorodu
PAR079,8523954991419264938,STU507,Sadiq,Osakwe,Male,Enugu,Dr.,48,1976-11-04,sadiq.osakwe@gmail.com,+2347065907088,"35, Road in Oshodi-Isolo, Lagos State",Business,Middle Income,Tertiary,Low,Eti-Osa
PAR079,8523954991419264938,STU231,Sadiq,Osakwe,Male,Rivers,Dr.,48,1976-11-26,sadiq.osakwe@gmail.com,+2347087641510,"35, Road in Oshodi-Isolo, Lagos State",Business,Low Income,Tertiary,High,Eti-Osa
PAR079,8523954991419264938,STU406,Sadiq,Osakwe,Female,Gombe,Chief,48,1976-11-24,sadiq.osakwe@gmail.com,+2347093179531,"35, Road in Oshodi-Isolo, Lagos State",Medical Professional,Low Income,Tertiary,High,Eti-Osa
PAR079,8523954991419264938,STU125,Sadiq,Osakwe,Male,Oyo,Mr.,48,1976-04-01,sadiq.osakwe@gmail.com,+2347069195194,"35, Road in Oshodi-Isolo, Lagos State",Engineer,Middle Income,Primary,Medium,Eti-Osa
PAR080,5349792600436720338,STU276,Sunday,Ibiam,Male,Bauchi,Chief,46,1978-04-18,sunday.ibiam@gmail.com,+2347053627409,"90, Street in Lagos Mainland, Lagos State",Civil Servant,Middle Income,Tertiary,Medium,Epe
PAR080,5349792600436720338,STU265,Sunday,Ibiam,Female,Taraba,Prof.,46,1978-09-11,sunday.ibiam@gmail.com,+2347083319550,"90, Street in Lagos Mainland, Lagos State",Engineer,High Income,Tertiary,Low,Epe
PAR081,3273737720470966360,STU511,Felicia,Lawal,Female,Osun,Dr.,45,1979-04-10,felicia.lawal@gmail.com,+2347048789478,"34, Road in Lagos Island, Lagos State",Civil Servant,Low Income,Tertiary,Low,Mushin
PAR081,3273737720470966360,STU178,Felicia,Lawal,Female,Abia,Prof.,45,1979-06-18,felicia.lawal@gmail.com,+2347046702849,"34, Road in Lagos Island, Lagos State",Engineer,Low Income,Tertiary,Low,Mushin
PAR081,3273737720470966360,STU197,Felicia,Lawal,Female,Akwa Ibom,Dr.,45,1979-03-10,felicia.lawal@gmail.com,+2347015646068,"34, Road in Lagos Island, Lagos State",Engineer,High Income,Primary,Medium,Mushin
PAR082,2863748368359479034,STU494,Umar,Omora,Female,Osun,Dr.,38,1986-03-04,umar.omora@gmail.com,+2347092634772,"12, Street in Ojo, Lagos State",Civil Servant,High Income,Primary,High,Amuwo-Odofin
PAR082,2863748368359479034,STU375,Umar,Omora,Male,Ogun,Mrs.,38,1986-11-08,umar.omora@gmail.com,+2347017045237,"12, Street in Ojo, Lagos State",Farmer,Middle Income,Secondary,Low,Amuwo-Odofin
PAR082,2863748368359479034,STU491,Umar,Omora,Female,Plateau,Mrs.,38,1986-01-18,umar.omora@gmail.com,+2347031198492,"12, Street in Ojo, Lagos State",Medical Professional,High Income,Secondary,Medium,Amuwo-Odofin
PAR082,2863748368359479034,STU183,Umar,Omora,Male,Sokoto,Dr.,38,1986-05-21,umar.omora@gmail.com,+2347017940667,"12, Street in Ojo, Lagos State",Farmer,High Income,Tertiary,High,Amuwo-Odofin
PAR083,9137273580854084236,STU308,Sodiq,Baba,Male,Kwara,Prof.,59,1965-08-06,sodiq.baba@gmail.com,+2347048851599,"87, Road in Surulere, Lagos State",Farmer,Low Income,Secondary,Low,Kosofe
PAR084,6011062497322274007,STU230,Fatima,Oluwole,Female,Bauchi,Chief,40,1984-08-09,fatima.oluwole@gmail.com,+2347035878707,"75, Avenue in Agege, Lagos State",Farmer,Middle Income,Primary,Low,Eti-Osa
PAR085,7794100876024415628,STU056,Agai,Anjorin,Female,Sokoto,Chief,38,1986-11-25,agai.anjorin@gmail.com,+2347035925669,"35, Road in Mushin, Lagos State",Teacher,High Income,Tertiary,Medium,Kosofe
PAR085,7794100876024415628,STU009,Agai,Anjorin,Female,Lagos,Dr.,38,1986-02-13,agai.anjorin@gmail.com,+2347099826000,"35, Road in Mushin, Lagos State",Farmer,Low Income,Primary,Medium,Kosofe
PAR085,7794100876024415628,STU126,Agai,Anjorin,Female,Kano,Mr.,38,1986-05-13,agai.anjorin@gmail.com,+2347041611127,"35, Road in Mushin, Lagos State",Medical Professional,Middle Income,Secondary,Medium,Kosofe
PAR085,7794100876024415628,STU204,Agai,Anjorin,Male,Katsina,Dr.,38,1986-12-08,agai.anjorin@gmail.com,+2347018338186,"35, Road in Mushin, Lagos State",Civil Servant,Low Income,Secondary,Medium,Kosofe
PAR086,9256009706268568804,STU553,Ebisu,Oyeniran,Female,Adamawa,Dr.,51,1973-06-20,ebisu.oyeniran@gmail.com,+2347039641883,"64, Avenue in Apapa, Lagos State",Teacher,Low Income,Secondary,High,Badagry
PAR086,9256009706268568804,STU201,Ebisu,Oyeniran,Female,Enugu,Prof.,51,1973-12-18,ebisu.oyeniran@gmail.com,+2347073193474,"64, Avenue in Apapa, Lagos State",Business,High Income,Primary,High,Badagry
PAR087,4336876437359166550,STU444,Amiel,Otu,Male,Oyo,Mr.,44,1980-01-27,amiel.otu@gmail.com,+2347083504237,"19, Street in Ojo, Lagos State",Business,Low Income,Tertiary,Low,Badagry
PAR088,2072124946804405875,STU237,Clement,Baba,Male,Ekiti,Mr.,40,1984-09-15,clement.baba@gmail.com,+2347017467311,"6, Street in Agege, Lagos State",Medical Professional,Low Income,Tertiary,Medium,Badagry
PAR088,2072124946804405875,STU187,Clement,Baba,Female,Oyo,Mr.,40,1984-09-15,clement.baba@gmail.com,+2347051361818,"6, Street in Agege, Lagos State",Civil Servant,Low Income,Secondary,Medium,Badagry
PAR089,1417724697001725997,STU374,Bola,Taiwo,Female,Ebonyi,Mr.,36,1988-09-02,bola.taiwo@gmail.com,+2347019263592,"23, Road in Ikeja, Lagos State",Medical Professional,Low Income,Secondary,Medium,Ibeju-Lekki
PAR090,4527751828545368186,STU021,Funke,Ajayi,Female,Imo,Prof.,34,1990-02-22,funke.ajayi@gmail.com,+2347098824290,"48, Street in Surulere, Lagos State",Business,Low Income,Tertiary,Medium,Ojo
PAR090,4527751828545368186,STU424,Funke,Ajayi,Male,Taraba,Chief,34,1990-07-17,funke.ajayi@gmail.com,+2347027092236,"48, Street in Surulere, Lagos State",Civil Servant,Low Income,Primary,High,Ojo
PAR091,5906221610254706577,STU031,Temitope,Baba,Female,Kaduna,Mrs.,51,1973-08-12,temitope.baba@gmail.com,+2347030820038,"66, Road in Surulere, Lagos State",Engineer,Low Income,Tertiary,High,Ikorodu
PAR091,5906221610254706577,STU419,Temitope,Baba,Male,Bayelsa,Chief,51,1973-01-08,temitope.baba@gmail.com,+2347037659807,"66, Road in Surulere, Lagos State",Farmer,Low Income,Tertiary,High,Ikorodu
PAR091,5906221610254706577,STU149,Temitope,Baba,Female,Nasarawa,Mrs.,51,1973-12-02,temitope.baba@gmail.com,+2347063991141,"66, Road in Surulere, Lagos State",Medical Professional,Low Income,Tertiary,High,Ikorodu
PAR092,8524300133957239391,STU192,Sani,Adeleke,Female,Oyo,Chief,46,1978-11-27,sani.adeleke@gmail.com,+2347053038943,"100, Road in Ikeja, Lagos State",Teacher,Middle Income,Primary,Low,Eti-Osa
PAR093,6134818283792034672,STU167,Godwin,Jabbi,Male,Cross River,Chief,39,1985-08-02,godwin.jabbi@gmail.com,+2347056226575,"98, Street in Ibeju-Lekki, Lagos State",Civil Servant,High Income,Secondary,Low,Shomolu
PAR093,6134818283792034672,STU306,Godwin,Jabbi,Female,Bayelsa,Prof.,39,1985-03-10,godwin.jabbi@gmail.com,+2347060527631,"98, Street in Ibeju-Lekki, Lagos State",Teacher,High Income,Secondary,High,Shomolu
PAR094,5270653313504467134,STU250,Augustina,Eze,Male,Osun,Prof.,57,1967-07-18,augustina.eze@gmail.com,+2347081134297,"67, Street in Ibeju-Lekki, Lagos State",Teacher,Middle Income,Primary,Medium,Ikeja
PAR094,5270653313504467134,STU361,Augustina,Eze,Male,Anambra,Mr.,57,1967-08-28,augustina.eze@gmail.com,+2347059805178,"67, Street in Ibeju-Lekki, Lagos State",Farmer,High Income,Tertiary,High,Ikeja
PAR095,1364761812578146676,STU340,Oluwaseun,Mohammed,Male,Yobe,Chief,42,1982-12-22,oluwaseun.mohammed@gmail.com,+2347085007641,"92, Road in Lagos Island, Lagos State",Teacher,Middle Income,Primary,Medium,Epe
PAR096,9643773176196171967,STU050,Zahra,Ibiam,Male,Adamawa,Prof.,59,1965-04-23,zahra.ibiam@gmail.com,+2347091121400,"15, Avenue in Lagos Island, Lagos State",Civil Servant,Low Income,Secondary,High,Agege
PAR096,9643773176196171967,STU295,Zahra,Ibiam,Female,Sokoto,Prof.,59,1965-08-18,zahra.ibiam@gmail.com,+2347097069904,"15, Avenue in Lagos Island, Lagos State",Engineer,Middle Income,Secondary,Medium,Agege
PAR096,9643773176196171967,STU142,Zahra,Ibiam,Female,Edo,Mr.,59,1965-12-16,zahra.ibiam@gmail.com,+2347052980983,"15, Avenue in Lagos Island, Lagos State",Teacher,Middle Income,Secondary,Medium,Agege
PAR097,2345899477936027467,STU351,Philip,Anaba,Male,Katsina,Chief,57,1967-10-19,philip.anaba@gmail.com,+2347066046380,"18, Road in Ikeja, Lagos State",Engineer,Low Income,Primary,Medium,Oshodi-Isolo
PAR098,6078780945420662979,STU348,Ibrahim,Ochoja,Female,Katsina,Prof.,48,1976-12-21,ibrahim.ochoja@gmail.com,+2347075846624,"17, Avenue in Badagry, Lagos State",Medical Professional,Low Income,Tertiary,Medium,Oshodi-Isolo
PAR098,6078780945420662979,STU026,Ibrahim,Ochoja,Male,Bauchi,Chief,48,1976-08-06,ibrahim.ochoja@gmail.com,+2347082764376,"17, Avenue in Badagry, Lagos State",Civil Servant,Low Income,Tertiary,High,Oshodi-Isolo
PAR099,1058880397138441713,STU172,Chidi,Okolie,Female,Bauchi,Mrs.,56,1968-02-23,chidi.okolie@gmail.com,+2347030270856,"60, Road in Shomolu, Lagos State",Farmer,Low Income,Tertiary,Medium,Alimosho
